strong,강한,"(0,119,174)","(0,116,121)","(0,76,78)","(0,21,29)","(0,95,47)","(140,198,71)","(163,207,98)","(179,211,53)","(20,27,19)","(206,19,55)","(167,6,46)","(177,12,45)","(158,3,42)","(148,0,41)","(140,29,44)",,,,
unique,독특한,"(0,114,171)","(103,193,193)","(0,177,177)","(0,169,166)","(133,200,190)","(0,147,111)","(226,240,227)","(43,173,111)","(173,211,154)",,,,,,,,,,
casual,캐쥬얼한,"(166,222,243)","(127,211,241)","(95,188,219)","(0,170,221)","(0,119,174)","(0,188,198)","(0,116,121)","(135,209,211)","(91,196,192)",,,,,,,,,,
cheerful,경쾌한,"(0,164,217)","(1,136,192)","(0,114,171)","(0,92,139)","(0,110,119)","(0,147,111)","(1,159,98)","(0,161,94)","(0,140,67)",,,,,,,,,,
dynamic,동적인,"(0,77,157)","(0,130,182)","(0,92,139)","(0,82,119)","(0,69,74)","(1,96,90)","(0,76,72)","(0,53,43)","(0,102,75)",,,,,,,,,,
sensual,감각적인,"(201,233,234)","(173,222,219)","(228,242,231)","(164,217,207)","(216,237,221)","(227,234,224)","(160,211,156)","(184,221,176)","(235,243,216)",,,,,,,,,,
charming,매력적인,(),,,,,,,,,,,,,,,,,,
mysterious,신비로운,(),,,,,,,,,,,,,,,,,,
luxurious,품위있는,(),,,,,,,,,,,,,,,,,,
pretty,예쁜,(),,,,,,,,,,,,,,,,,,
romantic,로맨틱한,(),,,,,,,,,,,,,,,,,,
emotional,감성적인,(),,,,,,,,,,,,,,,,,,
mild,담백한,(),,,,,,,,,,,,,,,,,,
pure_feminine,여성적인,(),,,,,,,,,,,,,,,,,,
light_clean,단정한,(),,,,,,,,,,,,,,,,,,
modest,수수한,(),,,,,,,,,,,,,,,,,,
neat,정돈된,(),,,,,,,,,,,,,,,,,,
simple,심플한,(),,,,,,,,,,,,,,,,,,
modern,모던한,(),,,,,,,,,,,,,,,,,,
stylish,세련된,(),,,,,,,,,,,,,,,,,,
masculine,남성적인,(),,,,,,,,,,,,,,,,,,
classic,클래식한,(),,,,,,,,,,,,,,,,,,
sturdy,견고한,(),,,,,,,,,,,,,,,,,,
noble,고상한,(),,,,,,,,,,,,,,,,,,
natural,내츄럴한,(),,,,,,,,,,,,,,,,,,
eco_friendly,친환경적인,(),,,,,,,,,,,,,,,,,,
traditional,전통적인,(),,,,,,,,,,,,,,,,,,
high_tech,하이테크한,(),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
